hour_of_day,weekday,motion_hall,motion_living,temperature,light_level,tv_on,minutes_idle,scenario
8,0,1,1,21.972322613118028,92.00995610864798,0,7,day
3,2,0,0,17.651574779049596,0.0,0,421,away
22,3,0,1,22.601910696033276,56.45971430486253,0,8,day
1,5,0,0,17.103291529329077,0.0,0,392,away
11,3,1,1,21.930861475182986,80.52333950643138,0,19,day
5,1,0,0,16.784491472952904,0.0,0,225,away
23,4,0,0,19.685373689958332,5.627063697531796,0,104,night
20,5,0,0,22.00169412030997,51.931711664455136,0,16,day
17,3,1,0,22.533920065650758,78.9641800080866,0,21,day
20,2,1,0,21.27776410619946,52.88962149415265,0,13,day
0,2,0,0,17.133718051399086,0.0,0,347,away
15,2,1,1,22.104211015546788,69.47083855335288,0,5,day
16,3,1,0,22.159211846409356,78.62035812074382,0,5,day
16,3,0,0,22.948769991035658,73.47482665697035,0,19,day
15,6,0,0,22.023732647908723,65.27866978573141,0,2,day
2,3,0,0,16.52935411222828,0.0,0,384,away
15,3,1,0,21.466575412476057,78.49036122306941,0,25,day
17,6,1,1,21.4313584758925,71.76393393539162,0,23,day
23,3,0,0,20.096663887928337,5.450075880715744,0,40,night
9,0,1,0,21.818030830138657,81.41131610804531,0,24,day
10,5,1,1,22.52282066395695,65.656919483256,0,28,day
16,5,0,0,21.430419209843688,83.138201364824,0,22,day
9,0,1,0,21.935608547058155,76.32107673970934,0,29,day
12,1,1,1,21.953017006670272,89.62642639803342,0,20,day
6,1,0,0,16.034887867628203,0.0,0,309,away
8,5,1,1,20.831580979689907,86.13709614282433,0,9,day
2,1,0,0,16.924030463591098,0.0,0,432,away
4,4,0,0,17.209802950114433,0.0,0,150,away
10,5,0,0,22.303176199462236,72.62674837931493,0,16,day
3,0,0,0,16.307731357797113,0.0,0,327,away
1,2,0,0,16.843814420214876,0.0,0,199,away
11,2,1,1,22.552355500081674,79.19400263791229,0,4,day
7,3,1,1,22.4062594184158,86.0572497742804,0,9,day
23,6,0,0,19.863063624534448,8.836824460629758,0,94,night
9,1,1,0,21.88636878229819,50.35255658179433,0,6,day
14,4,1,1,22.7014847377886,79.49350622560429,0,20,day
8,6,1,1,22.010094299362468,90.3262188475721,0,6,day
18,4,0,1,21.73933854068136,16.25837010822415,1,9,movie
11,1,1,1,21.92469570411042,71.75226272206909,0,24,day
12,6,1,0,21.703976971849862,68.17583666038554,0,13,day
1,1,0,0,16.614544622252478,0.0,0,475,away
10,1,1,1,21.581511767837306,75.43045458786472,0,15,day
18,0,1,1,21.7892319421346,65.17987752567579,0,3,day
0,2,0,0,16.585968754383742,0.0,0,160,away
3,0,0,0,16.915723994254737,0.0,0,219,away
11,0,1,0,21.5866318310116,75.03821063076668,0,10,day
5,2,0,0,16.08770486185123,0.0,0,450,away
11,6,1,1,22.660390344276735,64.59839080873769,0,21,day
11,3,0,1,22.529243291318476,74.12329009071547,0,0,day
22,0,1,1,21.190064002804114,9.010925778636578,1,0,movie
11,1,1,0,21.08409875607262,76.99034821007201,0,8,day
20,3,0,1,21.55343468920757,18.04580516668262,1,13,movie
5,6,0,0,16.593972837708474,0.0,0,469,away
14,6,1,0,22.713011594578365,82.39626409497902,0,30,day
2,4,0,0,17.49986610681751,0.0,0,306,away
9,4,1,1,21.12983332217149,76.83621077410557,0,9,day
16,1,0,0,23.237397204531423,89.59220600295612,0,3,day
21,1,1,1,21.453264314769008,19.58796521799536,1,12,movie
19,3,1,1,22.79878058332232,67.15370662810727,0,10,day
3,4,0,0,17.01768495124168,0.0,0,443,away
9,3,1,1,21.752341046008492,63.496844610768534,0,4,day
7,2,1,0,21.738657681252437,93.97420831539954,0,7,day
3,1,0,0,17.410334737154095,0.0,0,422,away
6,4,0,0,16.566520469056776,0.0,0,340,away
12,2,1,0,22.85998779020525,74.67771343468829,0,22,day
23,1,0,0,19.919166701844237,7.844211783844688,0,59,night
8,3,1,1,21.485966958137315,89.86871700582064,0,7,day
9,1,1,0,21.911255325680752,90.37776939916462,0,21,day
22,6,1,1,20.969077423378742,60.232879572613356,0,16,day
9,2,0,0,22.437560324658495,91.61438201803574,0,16,day
10,0,0,0,21.66339237235348,72.7373799497696,0,0,day
4,3,0,0,16.86562430998394,0.0,0,388,away
5,6,0,0,17.01423059079385,0.0,0,410,away
17,6,1,1,24.10731220762052,84.51285574844789,0,27,day
9,2,1,0,21.906149890259275,85.08601359892111,0,10,day
9,2,1,1,22.45497953846169,56.630330672945846,0,12,day
0,6,0,0,16.60719223206788,0.0,0,191,away
2,3,0,0,17.03359240132578,0.0,0,392,away
8,1,1,1,21.128912416814547,85.55833750736464,0,0,day
11,3,1,1,22.634569606473736,76.63002368334699,0,8,day
16,3,1,1,22.067419609328187,74.96579886425367,0,9,day
21,5,0,0,21.353338071056307,62.31133333734965,0,23,day
22,2,1,1,21.14800356869481,14.667853108815954,1,8,movie
13,3,1,1,22.829603766326045,69.23982694318632,0,5,day
12,5,1,1,22.433815023192,77.02553183726266,0,0,day
18,0,1,0,21.261491777514884,60.5593566479586,0,5,day
4,5,0,0,16.6992976608746,0.0,0,354,away
9,0,1,0,22.89450465481268,90.3630175656329,0,13,day
12,3,1,1,22.00925607082292,67.32994743676574,0,2,day
21,0,0,1,21.91514010178981,19.655169268760854,1,16,movie
19,3,1,1,22.22416203298658,22.661230142188707,1,17,movie
22,1,1,1,21.956061628792188,21.761157859534357,1,3,movie
9,0,0,1,22.49446002539629,88.00306258259322,0,30,day
9,3,1,0,22.42973144183103,45.0,0,16,day
8,3,1,1,22.038764668633398,81.02542731916041,0,6,day
1,6,0,0,16.80638794737093,0.0,0,243,away
15,4,0,0,23.170124639099164,77.3102711619342,0,16,day
10,2,1,0,22.046500757195506,68.57807906002563,0,19,day
9,3,1,1,22.136290841626455,78.23122018406166,0,4,day
22,4,1,1,21.191578953701562,63.55050167506484,0,8,day
14,6,1,1,22.641349855457022,79.74386451706263,0,18,day
0,6,0,0,17.132416061998477,0.0,0,282,away
17,5,0,0,21.910325904765212,84.70555609419726,0,11,day
22,5,1,1,22.28341143589212,60.96942359439569,0,9,day
17,6,1,0,21.762427838175803,71.85526934164142,0,14,day
10,1,1,0,21.975095122261433,83.56248163629806,0,3,day
7,0,1,1,22.521152395593123,84.9955315374585,0,10,day
20,5,1,1,21.731584016179703,64.95761572385983,0,6,day
6,4,0,0,17.126419148257714,0.0,0,387,away
4,6,0,0,16.156818663289023,0.0,0,315,away
18,6,1,1,22.422766137394838,69.50107514176896,0,13,day
9,3,1,1,22.19916440913399,85.86136316960767,0,21,day
8,3,1,0,22.13870068434615,82.27124909721508,0,9,day
13,4,1,1,21.68447638885466,70.62337423096977,0,15,day
22,6,0,0,21.797965707780573,60.87718203659207,0,2,day
11,4,1,0,22.446703150809576,77.18347913388205,0,14,day
11,4,1,1,21.926117313465166,87.32234572179247,0,17,day
4,2,0,0,16.571214979083912,0.0,0,122,away
10,5,0,1,22.081868580777652,64.85383036932073,0,3,day
9,3,1,1,22.991407918644835,100.0,0,30,day
21,6,1,1,22.116297225863075,60.495331869439674,0,12,day
21,1,0,1,22.326622441640612,16.893199639657148,1,13,movie
12,3,1,0,22.30821836581584,69.43945063359033,0,0,day
23,0,0,1,20.19782266212914,10.94732702268818,0,69,night
7,2,1,1,22.10704958855631,91.5900822824493,0,4,day
16,5,0,0,21.723240326924966,89.03565067808087,0,10,day
9,2,0,0,21.50865069523394,73.59562802929658,0,8,day
3,3,0,0,17.45347219150268,0.0,0,437,away
7,1,1,1,21.305686425282698,90.70190366826287,0,2,day
0,0,0,0,16.90566825513006,0.0,0,277,away
2,0,0,0,16.891937948265163,0.0,0,389,away
19,2,0,1,21.552896324010263,16.947706302174588,1,3,movie
10,5,1,1,22.97306654959095,76.61704634050368,0,10,day
18,1,1,1,20.89922712778066,55.65463335155109,0,13,day
15,5,1,1,21.969452452271657,86.19043693241763,0,1,day
19,0,1,1,22.2489084195,60.88490498062942,0,10,day
4,6,0,0,17.58918142887583,0.0,0,465,away
20,3,0,1,21.872695915116985,11.97069740890781,1,4,movie
0,3,0,0,16.65566332859057,0.0,0,258,away
19,2,1,1,21.425398001405853,10.367478347098933,1,14,movie
14,1,1,0,21.239876490573913,68.38025541689743,0,4,day
9,5,1,1,22.712811438081335,67.9978830339815,0,8,day
20,0,1,1,21.841901147709407,19.46145496825507,1,16,movie
4,5,0,0,17.61271155624042,0.0,0,441,away
19,3,1,1,22.88024230039151,50.17600095342002,0,7,day
16,0,1,1,21.90828352158057,80.20226709474586,0,6,day
1,0,0,0,16.739774551837762,0.0,0,185,away
7,2,1,1,22.94081643863803,89.78506642711334,0,3,day
22,4,0,1,21.643223009314823,7.3931666603231925,1,15,movie
2,0,0,0,16.100086488819358,0.0,0,161,away
9,0,0,0,22.974338257392702,80.10982576900875,0,4,day
23,3,0,0,20.29148569362974,7.846705415532615,0,19,night
2,4,0,0,17.226475103429934,0.0,0,453,away
4,5,0,0,16.52634866724069,0.0,0,473,away
12,3,0,1,22.396205921273587,68.07474169542085,0,14,day
3,4,0,0,17.24727628586612,0.0,0,235,away
23,0,0,0,19.599483426897383,12.367172419076045,0,85,night
9,3,1,0,21.11538188413504,74.28435489783652,0,13,day
18,2,0,1,21.601544505351654,19.207882970077083,1,7,movie
13,2,1,1,23.243788825158607,71.1776752129708,0,9,day
12,5,1,1,21.93170540560203,75.50441162448418,0,16,day
6,3,0,0,17.264832613832702,0.0,0,418,away
4,4,0,0,17.237421877962227,0.0,0,478,away
1,4,0,0,16.850022124060345,0.0,0,461,away
2,6,0,0,16.750559724296714,0.0,0,473,away
0,4,0,0,17.64802812365442,0.0,0,133,away
21,3,0,1,20.914692295102295,9.943589620538841,1,4,movie
11,3,0,1,22.18605977348978,96.03509410401342,0,0,day
20,3,1,1,21.802713574065304,9.48320844319993,1,4,movie
12,1,0,0,21.505521220659947,66.34648805191236,0,29,day
23,6,0,0,18.981532746070855,10.228540876714128,0,68,night
11,1,0,0,22.93974116046162,48.22005719271428,0,17,day
3,2,0,0,16.527999688613097,0.0,0,438,away
19,1,1,1,22.91811291986501,17.18823222529852,1,17,movie
22,3,0,1,21.619745575964316,15.756983343649019,1,2,movie
9,5,1,1,22.375760294098374,60.111024358212745,0,19,day
10,0,1,1,21.555140391709372,84.7654360408152,0,6,day
9,1,0,1,22.594732806259906,100.0,0,25,day
21,4,0,1,22.219495514694447,15.893138432215167,1,7,movie
23,3,0,1,19.70708584743917,10.831860604559196,0,116,night
12,6,1,0,21.424870639060984,79.52627203917173,0,0,day
20,6,0,1,21.794830013327445,16.984149287808876,1,3,movie
19,3,0,1,22.431000025206068,16.481253899429756,1,10,movie
6,1,0,0,17.531452426739776,0.0,0,468,away
16,6,0,0,22.69747264263963,80.04855087635708,0,11,day
22,4,1,1,22.04561570842369,71.78889113802477,0,3,day
10,4,1,1,22.101209383473627,58.47901427273029,0,6,day
9,0,1,0,21.650505913622137,69.28087976320323,0,2,day
20,4,1,1,21.064390941969506,25.44927024557952,1,17,movie
5,2,0,0,17.23021860399996,0.0,0,306,away
20,6,1,1,21.89796524247578,16.033377540138062,1,3,movie
4,1,0,0,17.102362740041688,0.0,0,325,away
6,3,0,0,16.996482124205773,0.0,0,407,away
4,3,0,0,17.89189273656382,0.0,0,409,away
15,6,0,1,21.68870471642064,98.29273610555973,0,12,day
10,4,1,0,22.074354703776233,79.90530596319518,0,29,day
14,2,1,0,22.694656237430987,85.21150746394792,0,23,day
17,6,0,1,21.67908394161553,59.64536751542142,0,5,day
12,3,1,1,20.426628705392957,63.52682530305831,0,15,day
11,6,1,0,23.06322328941554,74.55972339945323,0,13,day
14,0,0,1,22.016060627227766,70.06779815129642,0,22,day
1,5,0,0,16.957910346299652,0.0,0,416,away
17,5,1,0,23.57975345582239,76.90742563752173,0,9,day
8,3,1,1,21.437694474241137,82.87744466447553,0,7,day
14,2,0,0,21.42816399894978,62.39741633710673,0,16,day
5,4,0,0,17.043794143778836,0.0,0,389,away
9,1,1,0,22.08554372379927,74.37201003367393,0,17,day
2,0,0,0,16.843728958960323,0.0,0,465,away
6,1,0,0,17.17999133653862,0.0,0,238,away
12,1,0,0,21.714308208664338,84.780585789082,0,27,day
18,3,1,1,21.691853455903946,17.909258898697413,1,14,movie
13,5,1,1,22.393678478455946,64.49914505847636,0,21,day
2,5,0,0,16.52740837282847,0.0,0,278,away
19,1,1,1,21.894133098727803,19.994877764278893,1,5,movie
17,1,0,1,22.2794079038416,76.67913169169336,0,0,day
10,4,1,1,22.326174774651687,68.85123438102491,0,9,day
8,3,1,1,20.832734632143442,80.39191649893601,0,5,day
14,3,0,0,22.84732742341784,87.98519836516694,0,27,day
17,0,1,1,22.533216137105146,79.09391570156944,0,23,day
13,4,1,1,22.649533756320512,59.126523055866485,0,25,day
18,6,0,1,22.01847769435962,59.16033475199862,0,21,day
14,4,1,0,22.530715037221015,79.95509106362508,0,29,day
5,1,0,0,16.710262992236718,0.0,0,347,away
22,5,0,1,22.285766629880957,66.47297048792196,0,10,day
23,1,0,0,20.055969724815647,7.36684978508885,0,120,night
19,2,0,1,22.081029779531438,20.918862695134834,1,4,movie
23,3,0,0,19.912025681893464,9.683017371073605,0,76,night
9,5,1,1,22.817268551847306,53.85812628956997,0,25,day
21,0,0,1,22.275101248013222,15.18772367640879,1,2,movie
9,2,1,1,21.609003043365334,71.44472154996569,0,23,day
10,3,0,0,21.762253683518612,79.77970997994699,0,5,day
9,4,0,1,21.55944373857307,75.45065133797083,0,12,day
23,0,0,0,19.431294540262172,8.37528911668826,0,57,night
11,1,0,0,21.96971944457535,78.88219063090324,0,8,day
14,1,1,1,21.7931570829039,81.32129373881438,0,28,day
5,2,0,0,17.12960500967599,0.0,0,425,away
6,0,0,0,17.2309610310077,0.0,0,403,away
15,3,1,0,22.879231373048505,52.55702106211322,0,24,day
1,1,0,0,17.150024860756936,0.0,0,429,away
20,3,0,1,22.041534294004993,68.67612128743973,0,7,day
2,5,0,0,17.389527628686924,0.0,0,140,away
21,1,0,0,21.669569341117544,65.1871520899097,0,13,day
23,1,0,0,19.95233246506883,11.339076294587768,0,105,night
9,5,0,1,22.521778181508534,72.14370018476839,0,24,day
6,3,0,0,16.37312916376582,0.0,0,241,away
19,3,0,0,21.349932223137845,59.178703271674934,0,24,day
15,3,0,1,22.334380457024068,76.01999356415087,0,3,day
6,3,0,0,16.964271838919707,0.0,0,404,away
14,6,0,1,22.06354835241367,59.84949109415212,0,7,day
14,2,0,1,21.299598358330897,65.74589872222096,0,20,day
7,3,1,1,21.480248304556262,91.84128195597255,0,9,day
20,5,0,1,21.73259433089072,11.709886999990236,1,0,movie
12,6,0,0,21.450564017593166,80.10212015679551,0,12,day
18,5,1,1,21.436023488247166,16.026394638469284,1,5,movie
2,4,0,0,16.069851450050287,0.0,0,455,away
12,0,1,0,22.81495301587524,74.36046499973004,0,14,day
20,5,0,1,21.94341579513555,13.949264594447353,1,3,movie
21,4,1,1,21.33080879433808,22.189261144295035,1,19,movie
4,0,0,0,16.734919436657893,0.0,0,142,away
23,0,0,1,19.623787913799514,7.9414553866002136,0,22,night
2,5,0,0,17.01500929293584,0.0,0,267,away
21,2,0,1,21.741744628919584,21.658496215947387,1,13,movie
4,3,0,0,16.92417779538429,0.0,0,271,away
19,5,1,1,22.253291577095126,12.752787336891155,1,5,movie
22,4,1,0,21.654126290134933,67.14284653058364,0,11,day
16,4,1,0,22.859514933328686,82.28796293610303,0,28,day
6,4,0,0,17.907057681559703,0.0,0,175,away
14,6,1,0,21.821950493846597,65.42845125861726,0,4,day
18,3,1,1,22.421063479568815,14.328985850329943,1,17,movie
17,5,0,0,22.24321058515023,63.04658815533965,0,7,day
12,3,1,0,21.39191847073226,78.1066687772462,0,19,day
14,6,1,0,20.738174602051608,66.1658402134097,0,22,day
8,3,1,1,22.354584905746066,78.44792198655126,0,6,day
4,2,0,0,16.336665773767102,0.0,0,198,away
14,0,1,0,21.08870288675928,72.74301889926271,0,6,day
13,6,0,1,22.176176230591814,80.42454604969711,0,4,day
9,4,1,0,21.04745044446289,80.77035127226458,0,29,day
12,1,0,0,21.015699678084623,78.73803845323519,0,23,day
8,1,1,1,21.568936462413777,91.98612204543959,0,0,day
23,0,0,0,19.15692424495424,10.538472416074256,0,70,night
7,1,1,1,21.360178786316247,92.04276636200655,0,10,day
10,1,0,0,22.648363230686073,76.57410071438157,0,30,day
0,2,0,0,17.16584651401068,0.0,0,149,away
13,1,1,1,23.086967361429636,66.99307816287323,0,15,day
10,2,1,1,21.301576097943276,62.89703250234561,0,1,day
5,0,0,0,16.552677673117383,0.0,0,394,away
4,0,0,0,17.264551275956684,0.0,0,160,away
4,1,0,0,16.88026483689931,0.0,0,356,away
16,0,1,0,22.09880894795973,86.43743397720495,0,3,day
3,3,0,0,17.262247224468553,0.0,0,338,away
16,3,1,0,22.37393128555104,77.57232843436194,0,16,day
4,4,0,0,16.851688732215177,0.0,0,446,away
16,1,1,0,21.83028435600558,64.05634519275542,0,29,day
22,6,0,1,22.712664471735152,11.495662045493933,1,10,movie
17,0,1,0,22.26086845839003,55.9210694919533,0,16,day
15,1,0,0,22.525714934686558,86.24512675426689,0,18,day
20,3,1,1,21.609203032859195,47.591844701215564,0,4,day
9,0,0,0,22.842782723357768,82.02936943755222,0,5,day
12,0,0,0,22.21942206043622,77.4732233048647,0,22,day
23,1,0,0,20.203928283110447,10.103717543062583,0,111,night
1,5,0,0,17.47612228140405,0.0,0,458,away
14,3,1,1,21.320288410518273,65.0626293828333,0,12,day
16,5,0,1,22.166938740574626,64.07604669557567,0,28,day
23,0,0,0,20.292971123905136,5.561677732247906,0,92,night
17,3,0,0,21.389940529124146,92.04229104685014,0,20,day
9,1,1,0,21.435228958790695,76.94826859730375,0,26,day
2,4,0,0,16.127853516504725,0.0,0,315,away
3,3,0,0,16.69913565277299,0.0,0,151,away
20,2,0,1,22.028205783584784,18.981484035981328,1,10,movie
8,0,1,1,21.287735543543498,93.44837706110792,0,9,day
19,6,1,0,21.579754964072286,57.8328509834325,0,7,day
3,1,0,0,17.194037547398846,0.0,0,368,away
13,2,1,1,22.677926418311998,73.64165756185818,0,8,day
6,2,0,0,17.67863467318834,0.0,0,131,away
7,2,1,1,20.853414419380947,89.30363894937175,0,4,day
5,2,0,0,17.068250031415918,0.0,0,284,away
18,5,0,1,21.607011696034323,16.84049753810052,1,13,movie
12,5,1,1,22.434435015653335,81.4532326196706,0,10,day
7,0,1,1,21.843933818540364,90.35206562419454,0,8,day
18,3,0,1,21.56706114443978,63.472078587600855,0,16,day
12,1,1,0,22.143483254789498,64.8906890478428,0,3,day
20,3,0,1,22.329398684183097,17.959215537499816,1,6,movie
17,6,1,0,21.803819930386805,81.81850439307078,0,0,day
22,5,1,1,21.233262840632896,48.225501189406515,0,13,day
3,1,0,0,15.959244673979324,0.0,0,431,away
9,2,0,1,22.59569052855114,72.03086158762208,0,16,day
9,2,1,0,22.79793293069904,66.06302122893517,0,11,day
6,3,0,0,17.264014996716135,0.0,0,248,away
7,5,1,1,21.110425374325708,82.03398934902928,0,0,day
13,1,0,1,22.660120375997437,63.752952223494596,0,6,day
13,0,1,0,22.23227125876939,81.83108135657743,0,28,day
22,1,0,0,22.761179970997823,62.18290014420619,0,15,day
2,3,0,0,16.876391053921502,0.0,0,402,away
4,3,0,0,16.987065152521915,0.0,0,341,away
1,6,0,0,16.921598280861993,0.0,0,213,away
0,6,0,0,16.208900375053148,0.0,0,159,away
8,1,1,1,21.513177028173445,80.28321977974726,0,10,day
9,2,1,1,22.44435833624128,79.87058729395744,0,11,day
5,1,0,0,17.063379220199895,0.0,0,336,away
23,2,0,0,19.81280947467028,7.741311031330991,0,113,night
0,5,0,0,17.078041589257154,0.0,0,384,away
20,3,0,1,22.39234435806584,21.483291081466554,1,18,movie
1,6,0,0,16.2767423812517,0.0,0,454,away
23,3,0,1,19.714472201112514,10.543748584739657,0,96,night
16,5,0,0,21.571627712169715,68.01846642245167,0,23,day
6,6,0,0,17.198537213736294,0.0,0,269,away
15,3,1,1,22.044474444410948,76.62698303236714,0,5,day
6,6,0,0,17.309015923033105,0.0,0,442,away
18,2,0,1,22.033835629031355,17.887928860417023,1,1,movie
3,5,0,0,16.790490888583506,0.0,0,247,away
13,2,0,1,23.6027070715033,72.21960708268523,0,15,day
23,4,0,1,20.099573564158664,10.69260812461546,0,103,night
5,5,0,0,17.503645939733893,0.0,0,234,away
6,1,0,0,18.081594042911753,0.0,0,455,away
8,3,1,1,21.452868118875966,82.34392051281196,0,1,day
19,0,1,1,22.365746203970467,14.61302362846392,1,1,movie
9,6,0,1,22.399519387858582,67.90546270902672,0,10,day
17,3,1,1,22.98069500919122,82.33421541027349,0,13,day
18,6,1,1,21.145386948044923,15.046493676491568,1,7,movie
7,2,1,1,21.65017346797232,80.70037770826357,0,3,day
13,6,1,0,22.50463707098295,82.03006853426676,0,3,day
15,0,1,1,21.59857455254027,58.59497010972184,0,10,day
9,6,1,1,23.40655566744031,81.48982874076911,0,14,day
